site_slug,date,day_active,start_time,end_time,professional_name,professional_id,gender,site_id,session_id
aberdeen,Tuesday 22 September 2026,True,11:00,11:45,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPaiMAH
aberdeen,Tuesday 22 September 2026,True,11:45,12:30,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPaiMAH
aberdeen,Tuesday 22 September 2026,True,14:30,15:15,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPaiMAH
aberdeen,Thursday 24 September 2026,True,09:00,09:45,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPajMAH
aberdeen,Thursday 24 September 2026,True,09:45,10:30,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPajMAH
aberdeen,Thursday 24 September 2026,True,13:00,13:45,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPajMAH
aberdeen,Friday 25 September 2026,True,10:15,11:00,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPakMAH
aberdeen,Tuesday 29 September 2026,True,11:15,12:00,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPalMAH
aberdeen,Tuesday 29 September 2026,True,17:15,18:00,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPamMAH
aberdeen,Tuesday 29 September 2026,True,18:00,18:45,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPamMAH
aberdeen,Thursday 1 October 2026,True,12:30,13:15,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPanMAH
aberdeen,Thursday 1 October 2026,True,13:15,14:00,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPanMAH
aberdeen,Thursday 1 October 2026,True,14:00,14:45,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPanMAH
aberdeen,Thursday 1 October 2026,True,16:00,16:45,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPaoMAH
aberdeen,Thursday 1 October 2026,True,17:30,18:15,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPaoMAH
aberdeen,Thursday 1 October 2026,True,18:15,19:00,Mrs Jennifer Dunbar,001w000001L7d6sAAB,Female,a0O2000000AeJ9zEAF,a0WPz00000KXPaoMAH
aylesbury,Wednesday 23 September 2026,True,14:30,15:15,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000Rye40MAB
aylesbury,Thursday 24 September 2026,True,12:45,13:30,Ms Grace Chikelu-Amamilo,001Tw00000vjYBGIA2,Female,a0Ow000000GSYnfEAH,a0WTw000003hXSsMAM
aylesbury,Thursday 24 September 2026,True,16:00,16:45,Ms Grace Chikelu-Amamilo,001Tw00000vjYBGIA2,Female,a0Ow000000GSYnfEAH,a0WTw000003hXT4MAM
aylesbury,Friday 25 September 2026,True,10:00,10:45,Ms Grace Chikelu-Amamilo,001Tw00000vjYBGIA2,Female,a0Ow000000GSYnfEAH,a0WTw000003hXTGMA2
aylesbury,Friday 25 September 2026,True,10:45,11:30,Ms Grace Chikelu-Amamilo,001Tw00000vjYBGIA2,Female,a0Ow000000GSYnfEAH,a0WTw000003hXTGMA2
aylesbury,Friday 25 September 2026,True,16:00,16:45,Ms Grace Chikelu-Amamilo,001Tw00000vjYBGIA2,Female,a0Ow000000GSYnfEAH,a0WTw000003hXTSMA2
aylesbury,Monday 28 September 2026,True,09:00,09:45,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000RydtWMAR
aylesbury,Monday 28 September 2026,True,09:45,10:30,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000RydtWMAR
aylesbury,Monday 28 September 2026,True,11:30,12:15,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000RydtWMAR
aylesbury,Monday 28 September 2026,True,12:15,13:00,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000RydtWMAR
aylesbury,Monday 28 September 2026,True,14:00,14:45,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000RydtrMAB
aylesbury,Monday 28 September 2026,True,14:45,15:30,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000RydtrMAB
aylesbury,Tuesday 29 September 2026,True,08:00,08:45,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000Rye3LMAR
aylesbury,Tuesday 29 September 2026,True,08:45,09:30,Mrs Laura Edmonds,001w000001MYDvOAAX,Female,a0Ow000000GSYnfEAH,a0WPz00000Rye3LMAR
