site_slug,total_physios
aberdeen,1
aylesbury,1
barbican-medical-centre,3
birmingham-rubery,1
bishops-stortford,1
bournemouth,8
brentwood,12
brighton,7
bristol,6
bristol-clifton,2
bristol-north,2
bromley,1
cannock,1
cardiff-bay,10
chelmsford,1
cheltenham,15
chester,7
chichester,1
chingford,1
cottingley,1
covent-garden,3
crawley,1
croydon,1
croydon-central,1
cwmbran,1
derby,7
derby-gym,8
devonshire,2
didsbury,5
ealing,2
edinburgh,5
edinburgh-fountain-park,3
edinburgh-omni,4
exeter,10
farnborough,1
farnham,2
friern-barnet-london,1
glasgow,2
glasgow-hospital,9
gloucester,2
gosforth,1
guildford,10
guildford-gym,5
guiseley,2
hampshire,12
harrogate,2
haywards-heath,6
hereford,7
hertford,1
ilford,1
ipswich,6
islington-london,2
kingston,2
leamington-spa,5
leatherhead,1
leeds,13
leeds-gym,1
leicester,7
leicester-gym,3
liverpool,2
london-battersea,1
london-city,3
london-paddington,2
london-west-end,1
manchester-printworks,1
medway,1
mihp,1
milngavie,1
moorgate,3
newbury,2
newcastle,6
newcastle-under-lyme,8
northampton,1
norwich,1
nottingham,3
nuneaton,2
oxford,9
oxfordshire,1
plymouth,2
portsmouth,1
preston,1
reading,1
rugby,1
sheffield,2
shipley,1
shoreditch,1
shrewsbury,9
st-albans,2
stockley-park,1
stoke-poges,1
surbiton,3
taunton,6
taunton-gym,7
tees,6
telford,2
the-vale,14
tunbridge-wells,5
wakefield,1
west-byfleet,1
weston-super-mare,1
woking,9
wolverhampton,3
wolverhampton-gym,1
york,2
