site_slug,status,total_slots_found,next_available_date,days_until_available,physio_count_with_availability,actual_booking_url
aberdeen,has_availability,22,Friday 25 September 2026,1.0,1,https://book.nuffieldhealth.com/physio/appointments/aberdeen
aylesbury,has_availability,21,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/aylesbury
london-battersea,has_availability,19,Thursday 01 October 2026,7.0,1,https://book.nuffieldhealth.com/physio/appointments/battersea-london
london-bloomsbury,has_availability,3,Friday 25 September 2026,1.0,1,https://book.nuffieldhealth.com/physio/appointments/bloomsbury-london
bolton,has_availability,7,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/bolton
bournemouth,has_availability,3,Monday 28 September 2026,4.0,2,https://book.nuffieldhealth.com/physio/appointments/bournemouth
brentwood,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/brentwood
brighton,has_availability,27,Friday 25 September 2026,1.0,4,https://book.nuffieldhealth.com/physio/appointments/brighton
bristol-clifton,has_availability,10,Monday 28 September 2026,4.0,4,https://book.nuffieldhealth.com/physio/appointments/bristol-gym
bristol,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/bristol-hospital
bristol-north,has_availability,14,Wednesday 30 September 2026,6.0,2,https://book.nuffieldhealth.com/physio/appointments/bristol-north
bromley,has_availability,28,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/bromley
brondesbury-park,has_availability,2,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/brondesbury-park-london
cambridge-gym,has_availability,3,Friday 25 September 2026,1.0,2,https://book.nuffieldhealth.com/physio/appointments/cambridge-gym
cannock,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/cannock
cardiff-bay,has_availability,28,Thursday 01 October 2026,7.0,4,https://book.nuffieldhealth.com/physio/appointments/cardiff-bay
chelmsford,has_availability,13,Friday 02 October 2026,8.0,1,https://book.nuffieldhealth.com/physio/appointments/chelmsford
cheltenham,has_availability,48,Thursday 24 September 2026,0.0,9,https://book.nuffieldhealth.com/physio/appointments/cheltenham
chester,has_availability,6,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/chester
chesterfield,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/chesterfield
chichester,has_availability,34,Monday 28 September 2026,4.0,4,https://book.nuffieldhealth.com/physio/appointments/chichester
chigwell,has_availability,2,Monday 05 October 2026,11.0,1,https://book.nuffieldhealth.com/physio/appointments/chigwell
chingford,has_availability,13,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/chingford
chislehurst,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/chislehurst
cottingley,has_availability,6,Wednesday 30 September 2026,6.0,1,https://book.nuffieldhealth.com/physio/appointments/cottingley
covent-garden,has_availability,23,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/covent-garden-london
crawley,has_availability,45,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/crawley
croydon,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/croydon
croydon-central,has_availability,8,Thursday 01 October 2026,7.0,1,https://book.nuffieldhealth.com/physio/appointments/croydon-central
cwmbran,has_availability,9,Wednesday 30 September 2026,6.0,1,https://book.nuffieldhealth.com/physio/appointments/cwmbran
derby-gym,has_availability,12,Wednesday 30 September 2026,6.0,3,https://book.nuffieldhealth.com/physio/appointments/derby-gym
derby,has_availability,5,Monday 05 October 2026,11.0,2,https://book.nuffieldhealth.com/physio/appointments/derby
devonshire,has_availability,25,Friday 25 September 2026,1.0,1,https://book.nuffieldhealth.com/physio/appointments/plymouth-the-devonshire
didsbury,has_availability,6,Tuesday 06 October 2026,12.0,2,https://book.nuffieldhealth.com/physio/appointments/didsbury
ealing,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/ealing
east-kilbride,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/east-kilbride
edinburgh,has_availability,34,Tuesday 29 September 2026,5.0,3,https://book.nuffieldhealth.com/physio/appointments/edinburgh
edinburgh-fountain-park,has_availability,4,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/edinburgh-fountain-park
edinburgh-omni,has_availability,16,Monday 05 October 2026,11.0,3,https://book.nuffieldhealth.com/physio/appointments/edinburgh-omni
enfield,has_availability,12,Wednesday 30 September 2026,6.0,1,https://book.nuffieldhealth.com/physio/appointments/enfield
exeter,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/exeter
farnborough,has_availability,14,Wednesday 30 September 2026,6.0,1,https://book.nuffieldhealth.com/physio/appointments/farnborough
farnham,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/farnham
friern-barnet-london,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/friern-barnet-london
glasgow-giffnock,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/glasgow-giffnock
glasgow,has_availability,25,Wednesday 30 September 2026,6.0,2,https://book.nuffieldhealth.com/physio/appointments/glasgow-gym
glasgow-hospital,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/glasgow-hospital
gloucester,has_availability,37,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/gloucester
gosforth,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/gosforth
guildford-gym,has_availability,1,Tuesday 06 October 2026,12.0,1,https://book.nuffieldhealth.com/physio/appointments/guildford-gym
guildford,has_availability,4,Thursday 24 September 2026,0.0,1,https://book.nuffieldhealth.com/physio/appointments/guildford-hospital
guiseley,has_availability,3,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/guiseley
hampshire,has_availability,2,Monday 05 October 2026,11.0,1,https://book.nuffieldhealth.com/physio/appointments/hampshire
harrogate,has_availability,32,Friday 25 September 2026,1.0,2,https://book.nuffieldhealth.com/physio/appointments/harrogate
haywards-heath,has_availability,13,Monday 28 September 2026,4.0,4,https://book.nuffieldhealth.com/physio/appointments/haywards-heath
hemel-hempstead,has_availability,16,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/hemel-hempstead
london-hendon,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/hendon-london
hereford,has_availability,6,Thursday 01 October 2026,7.0,2,https://book.nuffieldhealth.com/physio/appointments/hereford
ilford,has_availability,10,Wednesday 30 September 2026,6.0,1,https://book.nuffieldhealth.com/physio/appointments/ilford
ipswich,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/ipswich
islington-london,has_availability,1,Tuesday 06 October 2026,12.0,1,https://book.nuffieldhealth.com/physio/appointments/islington-london
kingston,has_availability,26,Monday 28 September 2026,4.0,2,https://book.nuffieldhealth.com/physio/appointments/kingston
leamington-spa,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/leamington-spa
leatherhead,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/leatherhead
leeds-gym,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/leeds-gym
leeds,has_availability,43,Friday 25 September 2026,1.0,8,https://book.nuffieldhealth.com/physio/appointments/leeds
leicester-gym,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/leicester-gym
leicester,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/leicester-hospital
letchworth,has_availability,13,Monday 28 September 2026,4.0,2,https://book.nuffieldhealth.com/physio/appointments/letchworth
liverpool,has_availability,31,Friday 25 September 2026,1.0,2,https://book.nuffieldhealth.com/physio/appointments/liverpool
london-canary-wharf,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/canary-wharf-medical-centre-london
london-city,has_availability,31,Tuesday 29 September 2026,5.0,2,https://book.nuffieldhealth.com/physio/appointments/city-gym-london
london-west-end,has_availability,10,Tuesday 06 October 2026,12.0,2,https://book.nuffieldhealth.com/physio/appointments/west-end-london
mihp,has_availability,11,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/mihp
manchester-printworks,has_availability,9,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/manchester-printworks-gym
milngavie,has_availability,4,Friday 02 October 2026,8.0,1,https://book.nuffieldhealth.com/physio/appointments/milngavie
milton-keynes,has_availability,14,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/milton-keynes
moorgate,has_availability,28,Wednesday 30 September 2026,6.0,2,https://book.nuffieldhealth.com/physio/appointments/moorgate-london
newbury,has_availability,13,Wednesday 30 September 2026,6.0,2,https://book.nuffieldhealth.com/physio/appointments/newbury
newcastle,has_availability,5,Thursday 01 October 2026,7.0,4,https://book.nuffieldhealth.com/physio/appointments/newcastle
newcastle-under-lyme,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/newcastle-under-lyme
norbury,has_availability,8,Thursday 01 October 2026,7.0,1,https://book.nuffieldhealth.com/physio/appointments/norbury
northampton,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/northampton
norwich,has_availability,14,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/norwich
nottingham,has_availability,25,Friday 25 September 2026,1.0,3,https://book.nuffieldhealth.com/physio/appointments/nottingham
nuneaton,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/nuneaton
oxford,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/oxford
oxfordshire,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/oxfordshire
london-paddington,has_availability,28,Friday 25 September 2026,1.0,1,https://book.nuffieldhealth.com/physio/appointments/paddington-london
plymouth,has_availability,22,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/plymouth-gym
portsmouth,has_availability,19,Monday 28 September 2026,4.0,1,https://book.nuffieldhealth.com/physio/appointments/portsmouth
preston,has_availability,20,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/preston
reading,has_availability,11,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/reading
romford,has_availability,25,Thursday 24 September 2026,0.0,1,https://book.nuffieldhealth.com/physio/appointments/romford
rugby,has_availability,11,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/rugby
sheffield,has_availability,39,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/sheffield
shipley,has_availability,4,Thursday 01 October 2026,7.0,1,https://book.nuffieldhealth.com/physio/appointments/shipley
shoreditch,has_availability,9,Tuesday 29 September 2026,5.0,1,https://book.nuffieldhealth.com/physio/appointments/shoreditch-london
shrewsbury,has_availability,18,Monday 05 October 2026,11.0,3,https://book.nuffieldhealth.com/physio/appointments/shrewsbury
st-albans,has_availability,36,Monday 28 September 2026,4.0,2,https://book.nuffieldhealth.com/physio/appointments/st-albans
stockley-park,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/stockley-park
stoke-poges,has_availability,17,Thursday 01 October 2026,7.0,1,https://book.nuffieldhealth.com/physio/appointments/stoke-poges
sunbury,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/sunbury
surbiton,has_availability,37,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/surbiton
swindon,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/swindon
taunton-gym,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/taunton-gym
taunton,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/taunton-hospital
tees,has_availability,39,Friday 25 September 2026,1.0,4,https://book.nuffieldhealth.com/physio/appointments/tees
telford,has_availability,7,Thursday 24 September 2026,0.0,2,https://book.nuffieldhealth.com/physio/appointments/telford
the-vale,has_availability,21,Monday 28 September 2026,4.0,6,https://book.nuffieldhealth.com/physio/appointments/the-vale
tunbridge-wells-gym,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/tunbridge-wells-gym
tunbridge-wells,has_availability,4,Monday 05 October 2026,11.0,2,https://book.nuffieldhealth.com/physio/appointments/tunbridge-wells-hospital
wakefield,has_availability,15,Wednesday 30 September 2026,6.0,1,https://book.nuffieldhealth.com/physio/appointments/wakefield
london-wandsworth,has_availability,1,Tuesday 06 October 2026,12.0,1,https://book.nuffieldhealth.com/physio/appointments/wandsworth-london
wandsworth-southside,has_availability,10,Monday 05 October 2026,11.0,1,https://book.nuffieldhealth.com/physio/appointments/wandsworth-southside
west-byfleet,has_availability,4,Thursday 01 October 2026,7.0,1,https://book.nuffieldhealth.com/physio/appointments/west-byfleet
weston-super-mare,zero_availability,0,,,0,https://book.nuffieldhealth.com/physio/appointments/weston-super-mare
